id,departure_city,destination_city,bus_plate,travel_datetime,price,bus_type,available_seats
1,Antalya,Adana,07 ZXB 586,3/22/2026,488.51,2+2 Classic,"1,5,8,12,24"
2,Istanbul,Bursa,07 UXT 833,5/25/2026,756.73,2+1 VIP,"1,5,8,12,24"
3,Antalya,Adana,47 RVO 097,7/31/2026,468.98,2+1 VIP,"1,5,8,12,24"
4,Izmir,Adana,41 IUC 349,2/8/2026,1159.02,2+2 Classic,"1,5,8,12,24"
5,Konya,Bursa,58 QNO 700,7/6/2026,811.97,2+1 VIP,"1,5,8,12,24"
6,Mersin,Adana,14 BYD 700,7/25/2026,526.19,2+1 VIP,"1,5,8,12,24"
7,Istanbul,Bursa,12 LCH 372,2/8/2026,812.4,2+1 VIP,"1,5,8,12,24"
8,Bursa,Konya,05 ZJW 599,11/2/2026,868.11,2+2 Classic,"1,5,8,12,24"
9,Mersin,Gaziantep,57 DJI 202,10/14/2026,1168.98,2+2 Classic,"1,5,8,12,24"
10,Mersin,Ankara,60 DWC 887,8/8/2026,453.3,2+2 Classic,"1,5,8,12,24"
11,Izmir,Antalya,45 ORX 586,6/2/2026,607.77,2+2 Classic,"1,5,8,12,24"
12,Ankara,Adana,15 ZFU 796,6/17/2026,1052.62,2+2 Classic,"1,5,8,12,24"
13,Diyarbakir,Mersin,21 HMW 920,2/11/2026,718.0,2+2 Classic,"1,5,8,12,24"
14,Adana,Mersin,25 QRF 315,4/22/2026,434.97,2+1 VIP,"1,5,8,12,24"
15,Gaziantep,Mersin,35 RQH 397,8/6/2026,780.75,2+2 Classic,"1,5,8,12,24"
16,Gaziantep,Izmir,32 YYY 894,7/9/2026,662.92,2+1 VIP,"1,5,8,12,24"
17,Konya,Gaziantep,68 EFQ 084,10/1/2026,475.43,2+1 VIP,"1,5,8,12,24"
18,Adana,Konya,76 KMX 682,12/3/2026,549.92,2+2 Classic,"1,5,8,12,24"
19,Istanbul,Diyarbakir,12 MOH 440,9/8/2026,1092.29,2+1 VIP,"1,5,8,12,24"
20,Antalya,Izmir,76 JSB 313,10/13/2026,489.49,2+1 VIP,"1,5,8,12,24"
21,Istanbul,Istanbul,91 WBT 070,6/26/2026,407.46,2+1 VIP,"1,5,8,12,24"
22,Ankara,Ankara,87 NGX 658,2/2/2026,1031.43,2+2 Classic,"1,5,8,12,24"
23,Gaziantep,Ankara,95 OGM 062,5/3/2026,900.26,2+1 VIP,"1,5,8,12,24"
24,Mersin,Konya,61 LJS 864,11/6/2026,820.84,2+2 Classic,"1,5,8,12,24"
